,Links
73,https://vlr.gg/318941/bbl-esports-vs-fut-esports-champions-tour-2024-emea-stage-1-w5
74,https://vlr.gg/318940/team-liquid-vs-gentle-mates-champions-tour-2024-emea-stage-1-w5
75,https://vlr.gg/319790/wolves-esports-vs-jd-gaming-champions-tour-2024-china-stage-1-w5
76,https://vlr.gg/329908/paper-rex-vs-talon-esports-champions-tour-2024-pacific-stage-1-ko
77,https://vlr.gg/329907/team-secret-vs-t1-champions-tour-2024-pacific-stage-1-ko
78,https://vlr.gg/318939/natus-vincere-vs-fnatic-champions-tour-2024-emea-stage-1-w5
79,https://vlr.gg/318938/team-vitality-vs-koi-champions-tour-2024-emea-stage-1-w5
80,https://vlr.gg/319789/edward-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w5
81,https://vlr.gg/318937/karmine-corp-vs-team-heretics-champions-tour-2024-emea-stage-1-w5
82,https://vlr.gg/318936/bbl-esports-vs-giantx-champions-tour-2024-emea-stage-1-w5
83,https://vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4
84,https://vlr.gg/314330/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w4
85,https://vlr.gg/314329/bleed-vs-drx-champions-tour-2024-pacific-stage-1-w4
86,https://vlr.gg/314647/nrg-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w4
87,https://vlr.gg/314646/cloud9-vs-furia-champions-tour-2024-americas-stage-1-w4
88,https://vlr.gg/319788/bilibili-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w4
89,https://vlr.gg/314328/team-secret-vs-talon-esports-champions-tour-2024-pacific-stage-1-w4
90,https://vlr.gg/319787/all-gamers-vs-nova-esports-champions-tour-2024-china-stage-1-w4
91,https://vlr.gg/314327/t1-vs-zeta-division-champions-tour-2024-pacific-stage-1-w4
92,https://vlr.gg/314645/sentinels-vs-loud-champions-tour-2024-americas-stage-1-w4
93,https://vlr.gg/314644/g2-esports-vs-mibr-champions-tour-2024-americas-stage-1-w4
94,https://vlr.gg/319786/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-stage-1-w4
95,https://vlr.gg/314326/global-esports-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w4
96,https://vlr.gg/319785/tyloo-vs-wolves-esports-champions-tour-2024-china-stage-1-w4
97,https://vlr.gg/314325/bleed-vs-paper-rex-champions-tour-2024-pacific-stage-1-w4
98,https://vlr.gg/318935/karmine-corp-vs-koi-champions-tour-2024-emea-stage-1-w4
99,https://vlr.gg/318934/team-vitality-vs-giantx-champions-tour-2024-emea-stage-1-w4
100,https://vlr.gg/319784/trace-esports-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-1-w4
101,https://vlr.gg/319783/titan-esports-club-vs-bilibili-gaming-champions-tour-2024-china-stage-1-w4
102,https://vlr.gg/318933/bbl-esports-vs-natus-vincere-champions-tour-2024-emea-stage-1-w4
103,https://vlr.gg/318932/fnatic-vs-fut-esports-champions-tour-2024-emea-stage-1-w4
104,https://vlr.gg/314643/kr-esports-vs-loud-champions-tour-2024-americas-stage-1-w3
105,https://vlr.gg/314642/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3
106,https://vlr.gg/318931/team-vitality-vs-gentle-mates-champions-tour-2024-emea-stage-1-w4
107,https://vlr.gg/318930/team-liquid-vs-team-heretics-champions-tour-2024-emea-stage-1-w4
108,https://vlr.gg/314641/nrg-esports-vs-mibr-champions-tour-2024-americas-stage-1-w3
109,https://vlr.gg/314640/sentinels-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w3
110,https://vlr.gg/314324/global-esports-vs-paper-rex-champions-tour-2024-pacific-stage-1-w3
111,https://vlr.gg/314323/team-secret-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
112,https://vlr.gg/314639/cloud9-vs-100-thieves-champions-tour-2024-americas-stage-1-w3
113,https://vlr.gg/314638/g2-esports-vs-furia-champions-tour-2024-americas-stage-1-w3
114,https://vlr.gg/314322/gen-g-vs-zeta-division-champions-tour-2024-pacific-stage-1-w3
115,https://vlr.gg/314321/t1-vs-talon-esports-champions-tour-2024-pacific-stage-1-w3
116,https://vlr.gg/314637/nrg-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3
117,https://vlr.gg/314636/kr-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w3
118,https://vlr.gg/319782/edward-gaming-vs-titan-esports-club-champions-tour-2024-china-stage-1-w3
119,https://vlr.gg/314320/team-secret-vs-paper-rex-champions-tour-2024-pacific-stage-1-w3
120,https://vlr.gg/319781/tyloo-vs-nova-esports-champions-tour-2024-china-stage-1-w3
121,https://vlr.gg/314319/global-esports-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w3
122,https://vlr.gg/314635/cloud9-vs-loud-champions-tour-2024-americas-stage-1-w3
123,https://vlr.gg/314634/sentinels-vs-mibr-champions-tour-2024-americas-stage-1-w3
124,https://vlr.gg/319780/dragon-ranger-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w3
125,https://vlr.gg/314318/bleed-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
126,https://vlr.gg/319779/bilibili-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w3
127,https://vlr.gg/314317/gen-g-vs-drx-champions-tour-2024-pacific-stage-1-w3
128,https://vlr.gg/318929/fnatic-vs-koi-champions-tour-2024-emea-stage-1-w3
129,https://vlr.gg/318928/team-liquid-vs-giantx-champions-tour-2024-emea-stage-1-w3
130,https://vlr.gg/319778/nova-esports-vs-funplus-phoenix-champions-tour-2024-china-stage-1-w3
131,https://vlr.gg/319777/wolves-esports-vs-trace-esports-champions-tour-2024-china-stage-1-w3
132,https://vlr.gg/318927/team-vitality-vs-fut-esports-champions-tour-2024-emea-stage-1-w3
133,https://vlr.gg/318926/bbl-esports-vs-team-heretics-champions-tour-2024-emea-stage-1-w3
134,https://vlr.gg/318925/karmine-corp-vs-natus-vincere-champions-tour-2024-emea-stage-1-w3
135,https://vlr.gg/318924/gentle-mates-vs-fnatic-champions-tour-2024-emea-stage-1-w3
136,https://vlr.gg/314316/bleed-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
137,https://vlr.gg/314315/t1-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w2
138,https://vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2
139,https://vlr.gg/314314/global-esports-vs-talon-esports-champions-tour-2024-pacific-stage-1-w2
140,https://vlr.gg/314313/gen-g-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w2
141,https://vlr.gg/314631/nrg-esports-vs-furia-champions-tour-2024-americas-stage-1-w2
142,https://vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2
143,https://vlr.gg/319776/tyloo-vs-edward-gaming-champions-tour-2024-china-stage-1-w2
144,https://vlr.gg/314312/bleed-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w2
145,https://vlr.gg/319775/dragon-ranger-gaming-vs-titan-esports-club-champions-tour-2024-china-stage-1-w2
146,https://vlr.gg/314311/team-secret-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
147,https://vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2
148,https://vlr.gg/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2
149,https://vlr.gg/319774/trace-esports-vs-bilibili-gaming-champions-tour-2024-china-stage-1-w2
150,https://vlr.gg/314310/t1-vs-drx-champions-tour-2024-pacific-stage-1-w2
151,https://vlr.gg/319773/all-gamers-vs-wolves-esports-champions-tour-2024-china-stage-1-w2
152,https://vlr.gg/314309/gen-g-vs-paper-rex-champions-tour-2024-pacific-stage-1-w2
153,https://vlr.gg/318923/karmine-corp-vs-gentle-mates-champions-tour-2024-emea-stage-1-w2
154,https://vlr.gg/318922/fnatic-vs-giantx-champions-tour-2024-emea-stage-1-w2
155,https://vlr.gg/319772/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-1-w2
156,https://vlr.gg/319771/jd-gaming-vs-nova-esports-champions-tour-2024-china-stage-1-w2
157,https://vlr.gg/318921/bbl-esports-vs-koi-champions-tour-2024-emea-stage-1-w2
158,https://vlr.gg/318920/team-liquid-vs-natus-vincere-champions-tour-2024-emea-stage-1-w2
159,https://vlr.gg/318919/team-vitality-vs-team-heretics-champions-tour-2024-emea-stage-1-w2
160,https://vlr.gg/318918/karmine-corp-vs-fut-esports-champions-tour-2024-emea-stage-1-w2
161,https://vlr.gg/314308/t1-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w1
162,https://vlr.gg/314307/gen-g-vs-talon-esports-champions-tour-2024-pacific-stage-1-w1
163,https://vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1
164,https://vlr.gg/314306/global-esports-vs-drx-champions-tour-2024-pacific-stage-1-w1
165,https://vlr.gg/314305/team-secret-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w1
166,https://vlr.gg/314625/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-1-w1
167,https://vlr.gg/314624/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w1
168,https://vlr.gg/314304/t1-vs-paper-rex-champions-tour-2024-pacific-stage-1-w1
169,https://vlr.gg/319770/funplus-phoenix-vs-wolves-esports-champions-tour-2024-china-stage-1-w1
170,https://vlr.gg/319769/nova-esports-vs-trace-esports-champions-tour-2024-china-stage-1-w1
171,https://vlr.gg/314303/bleed-vs-talon-esports-champions-tour-2024-pacific-stage-1-w1
172,https://vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1
173,https://vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1
174,https://vlr.gg/319768/edward-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w1
175,https://vlr.gg/314302/team-secret-vs-drx-champions-tour-2024-pacific-stage-1-w1
176,https://vlr.gg/319767/dragon-ranger-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w1
177,https://vlr.gg/314301/global-esports-vs-zeta-division-champions-tour-2024-pacific-stage-1-w1
178,https://vlr.gg/318917/bbl-esports-vs-gentle-mates-champions-tour-2024-emea-stage-1-w1
179,https://vlr.gg/318916/team-liquid-vs-fut-esports-champions-tour-2024-emea-stage-1-w1
180,https://vlr.gg/319766/wolves-esports-vs-titan-esports-club-champions-tour-2024-china-stage-1-w1
181,https://vlr.gg/319765/bilibili-gaming-vs-tyloo-champions-tour-2024-china-stage-1-w1
182,https://vlr.gg/318915/fnatic-vs-team-heretics-champions-tour-2024-emea-stage-1-w1
183,https://vlr.gg/318914/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-1-w1
184,https://vlr.gg/318913/koi-vs-team-liquid-champions-tour-2024-emea-stage-1-w1
185,https://vlr.gg/318911/karmine-corp-vs-giantx-champions-tour-2024-emea-stage-1-w1
186,https://vlr.gg/312779/gen-g-vs-sentinels-champions-tour-2024-masters-madrid-gf
187,https://vlr.gg/321373/team-international-vs-team-spain-champions-tour-2024-masters-madrid-match
188,https://vlr.gg/312781/sentinels-vs-paper-rex-champions-tour-2024-masters-madrid-lbf
189,https://vlr.gg/312780/paper-rex-vs-loud-champions-tour-2024-masters-madrid-lr1
190,https://vlr.gg/312778/gen-g-vs-sentinels-champions-tour-2024-masters-madrid-ubf
191,https://vlr.gg/312776/sentinels-vs-loud-champions-tour-2024-masters-madrid-ubsf
192,https://vlr.gg/312777/gen-g-vs-paper-rex-champions-tour-2024-masters-madrid-ubsf
193,https://vlr.gg/312802/karmine-corp-vs-paper-rex-champions-tour-2024-masters-madrid-swiss-stage-r3
194,https://vlr.gg/312803/loud-vs-edward-gaming-champions-tour-2024-masters-madrid-swiss-stage-r3
195,https://vlr.gg/312799/team-heretics-vs-paper-rex-champions-tour-2024-masters-madrid-swiss-stage-r2
196,https://vlr.gg/312800/funplus-phoenix-vs-loud-champions-tour-2024-masters-madrid-swiss-stage-r2
197,https://vlr.gg/312797/edward-gaming-vs-gen-g-champions-tour-2024-masters-madrid-swiss-stage-r2
198,https://vlr.gg/312798/sentinels-vs-karmine-corp-champions-tour-2024-masters-madrid-swiss-stage-r2
199,https://vlr.gg/312768/sentinels-vs-team-heretics-champions-tour-2024-masters-madrid-swiss-stage-r1
200,https://vlr.gg/312767/edward-gaming-vs-paper-rex-champions-tour-2024-masters-madrid-swiss-stage-r1
201,https://vlr.gg/312766/gen-g-vs-loud-champions-tour-2024-masters-madrid-swiss-stage-r1
202,https://vlr.gg/312765/karmine-corp-vs-funplus-phoenix-champions-tour-2024-masters-madrid-swiss-stage-r1
203,https://vlr.gg/303086/loud-vs-sentinels-champions-tour-2024-americas-kickoff-gf
204,https://vlr.gg/303088/nrg-esports-vs-sentinels-champions-tour-2024-americas-kickoff-sf
205,https://vlr.gg/303087/evil-geniuses-vs-loud-champions-tour-2024-americas-kickoff-sf
206,https://vlr.gg/298835/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-kickoff-gf
207,https://vlr.gg/303095/team-heretics-vs-karmine-corp-champions-tour-2024-emea-kickoff-playoffs-gf
208,https://vlr.gg/298834/edward-gaming-vs-trace-esports-champions-tour-2024-china-kickoff-sf
209,https://vlr.gg/298833/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2024-china-kickoff-sf
210,https://vlr.gg/303094/fnatic-vs-karmine-corp-champions-tour-2024-emea-kickoff-playoffs-sf
211,https://vlr.gg/303093/team-heretics-vs-natus-vincere-champions-tour-2024-emea-kickoff-playoffs-sf
212,https://vlr.gg/298832/bilibili-gaming-vs-trace-esports-champions-tour-2024-china-kickoff-round-robin
213,https://vlr.gg/298831/bilibili-gaming-vs-titan-esports-club-champions-tour-2024-china-kickoff-round-robin
214,https://vlr.gg/298830/trace-esports-vs-titan-esports-club-champions-tour-2024-china-kickoff-round-robin
215,https://vlr.gg/307574/sentinels-vs-g2-esports-champions-tour-2024-americas-kickoff-play-ins
216,https://vlr.gg/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins
217,https://vlr.gg/307572/mibr-vs-sentinels-champions-tour-2024-americas-kickoff-play-ins
218,https://vlr.gg/307564/karmine-corp-vs-koi-champions-tour-2024-emea-kickoff-play-in-stage-play-ins
219,https://vlr.gg/307565/koi-vs-team-vitality-champions-tour-2024-emea-kickoff-play-in-stage-play-ins
220,https://vlr.gg/307567/karmine-corp-vs-team-vitality-champions-tour-2024-emea-kickoff-play-in-stage-play-ins
221,https://vlr.gg/298699/wolves-esports-vs-bilibili-gaming-champions-tour-2024-china-kickoff-decider-c
222,https://vlr.gg/298696/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-kickoff-decider-b
223,https://vlr.gg/298691/trace-esports-vs-nova-esports-champions-tour-2024-china-kickoff-decider-a
224,https://vlr.gg/295619/g2-esports-vs-kr-esports-champions-tour-2024-americas-kickoff-decider-c
225,https://vlr.gg/295614/leviat-n-vs-sentinels-champions-tour-2024-americas-kickoff-decider-b
226,https://vlr.gg/295609/cloud9-vs-mibr-champions-tour-2024-americas-kickoff-decider-a
227,https://vlr.gg/297410/team-liquid-vs-koi-champions-tour-2024-emea-kickoff-decider-b
228,https://vlr.gg/297405/karmine-corp-vs-fut-esports-champions-tour-2024-emea-kickoff-decider-a
229,https://vlr.gg/298698/wolves-esports-vs-edward-gaming-champions-tour-2024-china-kickoff-winners-c
230,https://vlr.gg/297416/team-vitality-vs-gentle-mates-champions-tour-2024-emea-kickoff-decider-c
231,https://vlr.gg/298694/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2024-china-kickoff-winners-b
232,https://vlr.gg/297258/paper-rex-vs-gen-g-champions-tour-2024-pacific-kickoff-playoffs-gf
233,https://vlr.gg/298689/trace-esports-vs-funplus-phoenix-champions-tour-2024-china-kickoff-winners-a
234,https://vlr.gg/295617/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-kickoff-winners-c
235,https://vlr.gg/298695/jd-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-elim-b
236,https://vlr.gg/297257/drx-vs-gen-g-champions-tour-2024-pacific-kickoff-playoffs-sf
237,https://vlr.gg/298690/tyloo-vs-nova-esports-champions-tour-2024-china-kickoff-elim-a
238,https://vlr.gg/297256/t1-vs-paper-rex-champions-tour-2024-pacific-kickoff-playoffs-sf
239,https://vlr.gg/295612/loud-vs-leviat-n-champions-tour-2024-americas-kickoff-winners-b
240,https://vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a
241,https://vlr.gg/297414/team-vitality-vs-fnatic-champions-tour-2024-emea-kickoff-winners-c
242,https://vlr.gg/297409/bbl-esports-vs-koi-champions-tour-2024-emea-kickoff-elim-b
243,https://vlr.gg/297408/natus-vincere-vs-team-liquid-champions-tour-2024-emea-kickoff-winners-b
244,https://vlr.gg/298697/bilibili-gaming-vs-wolves-esports-champions-tour-2024-china-kickoff-opening-c
245,https://vlr.gg/298693/dragon-ranger-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-opening-b
246,https://vlr.gg/298692/jd-gaming-vs-titan-esports-club-champions-tour-2024-china-kickoff-opening-b
247,https://vlr.gg/297404/fut-esports-vs-giantx-champions-tour-2024-emea-kickoff-elim-a
248,https://vlr.gg/297403/team-heretics-vs-karmine-corp-champions-tour-2024-emea-kickoff-winners-a
249,https://vlr.gg/297255/gen-g-vs-zeta-division-champions-tour-2024-pacific-kickoff-play-ins
250,https://vlr.gg/298688/funplus-phoenix-vs-nova-esports-champions-tour-2024-china-kickoff-opening-a
251,https://vlr.gg/297253/zeta-division-vs-team-secret-champions-tour-2024-pacific-kickoff-play-ins
252,https://vlr.gg/298687/trace-esports-vs-tyloo-champions-tour-2024-china-kickoff-opening-a
253,https://vlr.gg/297254/team-secret-vs-gen-g-champions-tour-2024-pacific-kickoff-play-ins
254,https://vlr.gg/297412/team-vitality-vs-gentle-mates-champions-tour-2024-emea-kickoff-opening-c
255,https://vlr.gg/297407/team-liquid-vs-koi-champions-tour-2024-emea-kickoff-opening-b
256,https://vlr.gg/297406/natus-vincere-vs-bbl-esports-champions-tour-2024-emea-kickoff-opening-b
257,https://vlr.gg/296739/zeta-division-vs-global-esports-champions-tour-2024-pacific-kickoff-decider-a
258,https://vlr.gg/296734/talon-esports-vs-team-secret-champions-tour-2024-pacific-kickoff-decider-b
259,https://vlr.gg/296749/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-kickoff-decider-c
260,https://vlr.gg/297402/giantx-vs-karmine-corp-champions-tour-2024-emea-kickoff-opening-a
261,https://vlr.gg/297401/fut-esports-vs-team-heretics-champions-tour-2024-emea-kickoff-opening-a
262,https://vlr.gg/296732/drx-vs-talon-esports-champions-tour-2024-pacific-kickoff-winners-b
263,https://vlr.gg/296733/detonation-focusme-vs-team-secret-champions-tour-2024-pacific-kickoff-elim-b
264,https://vlr.gg/295613/sentinels-vs-100-thieves-champions-tour-2024-americas-kickoff-elim-b
265,https://vlr.gg/295608/furia-vs-mibr-champions-tour-2024-americas-kickoff-elim-a
266,https://vlr.gg/296737/t1-vs-zeta-division-champions-tour-2024-pacific-kickoff-winners-a
267,https://vlr.gg/296738/bleed-vs-global-esports-champions-tour-2024-pacific-kickoff-elim-a
268,https://vlr.gg/296747/gen-g-vs-paper-rex-champions-tour-2024-pacific-kickoff-winners-c
269,https://vlr.gg/295615/kr-esports-vs-g2-esports-champions-tour-2024-americas-kickoff-opening-c
270,https://vlr.gg/296736/drx-vs-detonation-focusme-champions-tour-2024-pacific-kickoff-opening-b
271,https://vlr.gg/296731/team-secret-vs-talon-esports-champions-tour-2024-pacific-kickoff-opening-b
272,https://vlr.gg/296730/zeta-division-vs-global-esports-champions-tour-2024-pacific-kickoff-opening-a
273,https://vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b
274,https://vlr.gg/295610/loud-vs-sentinels-champions-tour-2024-americas-kickoff-opening-b
275,https://vlr.gg/296745/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-kickoff-opening-c
276,https://vlr.gg/296735/t1-vs-bleed-champions-tour-2024-pacific-kickoff-opening-a
277,https://vlr.gg/295606/cloud9-vs-mibr-champions-tour-2024-americas-kickoff-opening-a
278,https://vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a
